city,area,rooms,bathroom,parking,floor,animal,furniture,total
Porto Alegre,350.0,4,4,4,0,acept,furnished,9520.0
São Paulo,300.0,4,4,3,0,acept,not furnished,4137.0
Belo Horizonte,296.0,4,3,2,0,acept,not furnished,14150.0
São Paulo,64.0,2,2,2,8,acept,not furnished,3316.0
São Paulo,133.0,3,2,0,6,acept,not furnished,3846.0
Campinas,44.0,1,1,0,7,acept,not furnished,919.0
Campinas,240.0,3,4,2,0,acept,not furnished,3296.0
Porto Alegre,70.0,3,2,1,4,acept,not furnished,3035.0
São Paulo,22.0,1,1,0,26,acept,not furnished,2423.0
Porto Alegre,50.0,1,1,1,1,acept,not furnished,1364.0
Porto Alegre,67.0,3,2,2,4,acept,not furnished,2883.0
São Paulo,31.0,1,1,0,6,acept,furnished,2760.0
Rio de Janeiro,90.0,2,1,1,1,acept,furnished,4554.0
Rio de Janeiro,109.0,3,3,1,1,acept,not furnished,6149.0
Belo Horizonte,400.0,4,2,2,0,not acept,not furnished,2615.0
São Paulo,300.0,4,5,4,0,acept,furnished,15380.0
Campinas,284.0,4,3,3,4,acept,not furnished,8900.0
Porto Alegre,70.0,2,1,1,3,acept,furnished,2826.0
Rio de Janeiro,309.0,4,5,4,7,acept,not furnished,9927.0
São Paulo,70.0,2,1,0,0,acept,not furnished,2266.0
São Paulo,360.0,3,4,1,10,acept,not furnished,13010.0
São Paulo,30.0,1,1,1,10,not acept,not furnished,2406.0
Campinas,80.0,2,2,2,11,acept,not furnished,3231.0
Belo Horizonte,133.0,4,4,3,6,not acept,not furnished,9394.0
São Paulo,38.0,1,1,1,14,not acept,furnished,4735.0
São Paulo,73.0,2,2,1,7,acept,not furnished,4745.0
São Paulo,155.0,3,4,2,4,acept,not furnished,3676.0
São Paulo,63.0,2,2,1,15,acept,not furnished,3648.0
São Paulo,58.0,2,1,1,1,acept,not furnished,1418.0
São Paulo,48.0,1,1,0,9,not acept,furnished,3871.0
São Paulo,210.0,3,4,3,7,acept,not furnished,5360.0
Belo Horizonte,100.0,3,2,2,2,acept,not furnished,2145.0
São Paulo,94.0,3,2,2,1,acept,not furnished,5093.0
São Paulo,94.0,3,3,2,3,acept,furnished,6689.0
São Paulo,76.0,3,1,1,4,acept,not furnished,3999.0
São Paulo,192.0,3,3,2,13,acept,not furnished,10630.0
São Paulo,217.0,3,4,3,1,acept,not furnished,9467.0
São Paulo,68.0,2,1,1,5,acept,not furnished,2063.0
São Paulo,110.0,3,2,2,2,acept,not furnished,3823.0
Belo Horizonte,95.0,2,2,1,3,acept,not furnished,2446.0
São Paulo,900.0,4,6,8,0,acept,not furnished,19640.0
São Paulo,34.0,1,1,0,5,not acept,not furnished,1608.0
São Paulo,192.0,3,4,3,5,acept,not furnished,10100.0
Porto Alegre,62.0,2,2,1,9,acept,not furnished,2252.0
São Paulo,180.0,3,3,4,0,acept,not furnished,3940.0
Campinas,44.0,1,1,0,3,acept,furnished,1290.0
Belo Horizonte,100.0,2,1,1,1,not acept,not furnished,2089.0
Rio de Janeiro,140.0,3,3,1,24,not acept,not furnished,2388.0
São Paulo,170.0,3,3,3,8,acept,furnished,5054.0
São Paulo,100.0,3,2,2,0,not acept,not furnished,1775.0
São Paulo,75.0,3,2,2,4,acept,not furnished,2355.0
Rio de Janeiro,52.0,2,1,0,2,acept,not furnished,1459.0
Campinas,999.0,5,7,8,0,acept,not furnished,14880.0
São Paulo,270.0,4,4,4,8,acept,not furnished,10790.0
Belo Horizonte,50.0,2,1,1,1,acept,not furnished,1163.0
Campinas,200.0,3,3,2,0,acept,not furnished,3078.0
São Paulo,71.0,2,2,0,16,acept,not furnished,2475.0
São Paulo,500.0,5,4,6,0,acept,not furnished,13450.0
São Paulo,60.0,2,1,0,0,acept,not furnished,1191.0
São Paulo,110.0,2,1,0,8,acept,not furnished,2501.0
São Paulo,210.0,3,3,4,0,acept,not furnished,3620.0
São Paulo,220.0,3,4,3,8,acept,not furnished,9094.0
Belo Horizonte,200.0,3,2,5,0,not acept,not furnished,4270.0
São Paulo,130.0,3,4,3,2,acept,not furnished,7106.0
São Paulo,65.0,2,2,2,7,acept,furnished,5333.0
São Paulo,96.0,3,2,2,17,acept,not furnished,4295.0
São Paulo,660.0,4,5,5,12,acept,furnished,26800.0
Rio de Janeiro,107.0,3,2,0,7,acept,furnished,4972.0
Rio de Janeiro,105.0,3,2,0,1,acept,not furnished,2978.0
Rio de Janeiro,100.0,3,2,0,7,acept,not furnished,4342.0
São Paulo,287.0,3,4,4,0,acept,furnished,9566.0
Campinas,24.0,1,1,0,1,not acept,furnished,1434.0
São Paulo,22.0,1,1,0,0,not acept,not furnished,991.0
São Paulo,70.0,1,1,1,0,not acept,not furnished,2710.0
Porto Alegre,44.0,1,1,1,2,acept,furnished,1789.0
São Paulo,150.0,3,2,2,0,not acept,not furnished,2538.0
São Paulo,90.0,1,2,2,9,acept,furnished,4155.0
São Paulo,200.0,4,4,2,8,acept,furnished,6666.0
São Paulo,320.0,8,4,0,0,acept,not furnished,11460.0
Porto Alegre,90.0,2,1,1,2,not acept,not furnished,2385.0
São Paulo,240.0,4,4,3,9,acept,not furnished,5506.0
São Paulo,154.0,4,3,3,21,acept,not furnished,9793.0
São Paulo,60.0,2,2,2,2,acept,not furnished,5895.0
Campinas,101.0,3,2,0,5,acept,not furnished,3282.0
Porto Alegre,140.0,3,4,2,0,not acept,not furnished,3145.0
São Paulo,500.0,4,5,8,0,acept,not furnished,17080.0
São Paulo,110.0,3,3,3,4,acept,not furnished,4262.0
São Paulo,110.0,3,3,2,0,acept,not furnished,4923.0
Belo Horizonte,90.0,2,2,2,3,acept,not furnished,2311.0
São Paulo,384.0,4,6,4,3,not acept,furnished,19040.0
São Paulo,57.0,2,1,1,7,acept,not furnished,2157.0
São Paulo,160.0,3,3,2,5,acept,furnished,3589.0
São Paulo,39.0,1,1,0,8,acept,not furnished,1615.0
Campinas,78.0,1,2,1,4,acept,not furnished,2463.0
Porto Alegre,36.0,1,1,1,0,acept,not furnished,791.0
Campinas,70.0,2,1,1,1,acept,not furnished,1774.0
Belo Horizonte,45.0,1,1,1,4,not acept,furnished,3543.0
São Paulo,200.0,3,4,3,1,acept,not furnished,13360.0
São Paulo,100.0,3,3,3,0,acept,not furnished,4485.0
São Paulo,42.0,1,1,1,14,not acept,not furnished,5064.0
São Paulo,280.0,4,4,1,1,acept,furnished,11390.0
São Paulo,28.0,1,1,1,13,not acept,furnished,3493.0
São Paulo,30.0,1,1,0,0,not acept,furnished,2176.0
Belo Horizonte,85.0,3,2,1,1,acept,not furnished,1945.0
Campinas,83.0,1,1,1,4,not acept,not furnished,1653.0
Campinas,85.0,3,2,2,16,acept,furnished,4042.0
Belo Horizonte,90.0,3,2,2,3,acept,not furnished,2052.0
Belo Horizonte,50.0,2,1,0,5,acept,not furnished,1012.0
Rio de Janeiro,50.0,1,1,0,8,acept,not furnished,3672.0
Belo Horizonte,300.0,3,2,3,0,not acept,not furnished,7349.0
Porto Alegre,39.0,1,1,0,7,acept,not furnished,1240.0
São Paulo,750.0,4,4,6,0,acept,not furnished,17310.0
Porto Alegre,60.0,2,1,0,1,acept,not furnished,1385.0
Rio de Janeiro,68.0,2,1,0,4,not acept,not furnished,2026.0
São Paulo,70.0,2,1,1,0,acept,not furnished,1546.0
São Paulo,90.0,2,2,1,6,acept,furnished,7572.0
Rio de Janeiro,258.0,5,6,0,0,acept,not furnished,9503.0
São Paulo,200.0,2,2,6,0,acept,not furnished,4860.0
São Paulo,123.0,2,2,2,6,acept,not furnished,5453.0
São Paulo,127.0,3,2,2,0,acept,furnished,2470.0
Belo Horizonte,180.0,4,2,2,0,acept,not furnished,2040.0
São Paulo,110.0,3,2,0,0,not acept,not furnished,3328.0
Rio de Janeiro,70.0,2,2,1,7,acept,furnished,2404.0
São Paulo,35.0,1,1,1,8,acept,furnished,3889.0
São Paulo,219.0,3,2,2,0,acept,not furnished,3094.0
Rio de Janeiro,25.0,1,1,0,0,acept,not furnished,760.0
Rio de Janeiro,170.0,4,5,0,10,acept,not furnished,9031.0
Rio de Janeiro,45.0,1,1,0,8,acept,not furnished,2589.0
Belo Horizonte,420.0,4,4,2,0,not acept,not furnished,7315.0
Porto Alegre,46.0,1,1,0,4,acept,not furnished,1104.0
São Paulo,145.0,3,3,2,1,acept,furnished,7212.0
Belo Horizonte,59.0,2,2,1,2,acept,not furnished,1364.0
Belo Horizonte,225.0,4,3,0,8,acept,not furnished,9916.0
São Paulo,210.0,4,4,3,3,acept,not furnished,8115.0
Porto Alegre,76.0,1,1,0,0,acept,not furnished,1529.0
São Paulo,220.0,3,4,3,2,not acept,not furnished,8966.0
São Paulo,109.0,3,2,2,7,acept,not furnished,4412.0
Belo Horizonte,95.0,2,1,1,3,acept,not furnished,1780.0
São Paulo,32.0,1,1,0,0,not acept,not furnished,1850.0
São Paulo,480.0,4,6,5,9,acept,not furnished,24910.0
São Paulo,53.0,1,1,1,3,acept,not furnished,5340.0
São Paulo,40.0,1,1,0,0,not acept,not furnished,809.0
São Paulo,50.0,1,1,1,4,acept,furnished,3864.0
São Paulo,60.0,1,1,0,0,acept,not furnished,1575.0
Porto Alegre,64.0,2,2,2,7,not acept,not furnished,2022.0
Rio de Janeiro,140.0,3,3,2,4,acept,furnished,14970.0
São Paulo,121.0,3,3,1,12,acept,not furnished,3200.0
Campinas,43.0,1,1,1,4,acept,furnished,2709.0
São Paulo,20.0,1,1,1,3,not acept,furnished,3078.0
Campinas,58.0,2,1,1,3,acept,not furnished,1263.0
Belo Horizonte,570.0,5,6,7,0,acept,furnished,9340.0
São Paulo,88.0,2,1,1,2,acept,not furnished,3806.0
São Paulo,89.0,3,2,2,19,acept,not furnished,7161.0
São Paulo,40.0,1,1,0,0,acept,not furnished,1167.0
Rio de Janeiro,40.0,1,1,0,1,acept,furnished,2453.0
Rio de Janeiro,60.0,1,2,1,3,acept,not furnished,1240.0
São Paulo,25.0,1,1,0,14,acept,not furnished,1928.0
Porto Alegre,50.0,2,1,0,13,acept,not furnished,1517.0
Porto Alegre,90.0,3,1,0,1,acept,not furnished,1347.0
São Paulo,173.0,3,3,3,2,acept,not furnished,5851.0
Campinas,91.0,3,2,2,12,acept,not furnished,3154.0
São Paulo,90.0,3,2,2,6,not acept,not furnished,3035.0
São Paulo,530.0,5,6,4,2,acept,furnished,28490.0
São Paulo,40.0,1,1,0,0,not acept,not furnished,1317.0
São Paulo,296.0,4,5,3,3,acept,not furnished,15190.0
São Paulo,87.0,3,2,1,17,acept,not furnished,2468.0
São Paulo,300.0,3,3,5,0,acept,not furnished,5660.0
São Paulo,136.0,3,3,3,13,acept,not furnished,6054.0
São Paulo,52.0,2,1,0,4,acept,not furnished,1357.0
Porto Alegre,94.0,2,2,2,8,acept,not furnished,3773.0
Rio de Janeiro,300.0,4,5,3,7,acept,not furnished,17520.0
Rio de Janeiro,100.0,3,3,1,3,acept,not furnished,4221.0
São Paulo,500.0,4,6,3,0,acept,not furnished,16410.0
São Paulo,240.0,3,4,3,3,acept,furnished,9613.0
Belo Horizonte,308.0,2,3,3,0,acept,not furnished,2204.0
São Paulo,350.0,4,5,4,15,acept,furnished,8683.0
São Paulo,75.0,2,2,0,2,acept,not furnished,2039.0
São Paulo,155.0,3,2,3,4,acept,furnished,15120.0
São Paulo,260.0,3,5,4,12,acept,not furnished,9772.0
São Paulo,80.0,2,2,1,0,not acept,not furnished,1707.0
Rio de Janeiro,85.0,3,1,1,6,acept,not furnished,2921.0
São Paulo,120.0,2,2,2,22,not acept,furnished,5320.0
São Paulo,100.0,2,2,1,0,acept,not furnished,2000.0
São Paulo,240.0,4,5,4,6,not acept,not furnished,6131.0
São Paulo,360.0,7,6,6,0,acept,not furnished,5595.0
São Paulo,42.0,1,1,0,0,not acept,not furnished,1117.0
São Paulo,33.0,1,1,1,14,acept,furnished,3548.0
Rio de Janeiro,48.0,1,1,0,1,not acept,not furnished,1713.0
Rio de Janeiro,36.0,1,1,0,5,acept,not furnished,1537.0
São Paulo,270.0,6,3,6,0,acept,not furnished,4985.0
Campinas,75.0,2,1,1,2,acept,not furnished,2007.0
Rio de Janeiro,46.0,2,1,0,3,not acept,not furnished,1891.0
São Paulo,350.0,3,3,3,0,not acept,not furnished,11440.0
Porto Alegre,131.0,3,3,1,10,acept,furnished,3522.0
Campinas,90.0,3,2,1,3,acept,not furnished,2366.0
Rio de Janeiro,26.0,1,1,0,4,not acept,not furnished,2182.0
Rio de Janeiro,44.0,1,1,0,3,acept,furnished,1529.0
São Paulo,70.0,2,2,0,0,acept,not furnished,1909.0
Belo Horizonte,40.0,1,1,0,0,not acept,not furnished,915.0
Belo Horizonte,320.0,4,2,4,0,acept,not furnished,3459.0
São Paulo,213.0,2,2,3,0,acept,not furnished,5228.0
São Paulo,80.0,2,1,0,1,not acept,not furnished,1114.0
Campinas,70.0,1,1,0,6,acept,not furnished,1341.0
Rio de Janeiro,60.0,2,1,1,5,acept,not furnished,2235.0
São Paulo,270.0,4,4,4,5,acept,not furnished,19350.0
Rio de Janeiro,70.0,2,1,1,3,acept,not furnished,2161.0
Porto Alegre,300.0,6,2,2,0,acept,not furnished,6349.0
São Paulo,220.0,4,5,3,14,acept,furnished,14950.0
Porto Alegre,64.0,2,2,2,7,acept,not furnished,2108.0
Rio de Janeiro,80.0,3,3,1,7,not acept,not furnished,2589.0
São Paulo,56.0,1,1,0,9,acept,furnished,3238.0
São Paulo,161.0,4,3,2,1,acept,not furnished,12040.0
São Paulo,35.0,1,1,0,0,acept,not furnished,1718.0
São Paulo,720.0,4,6,5,0,acept,furnished,15560.0
São Paulo,280.0,4,5,4,6,not acept,not furnished,6491.0
Porto Alegre,96.0,3,2,0,2,acept,not furnished,2623.0
Campinas,236.0,3,4,4,10,acept,not furnished,13180.0
São Paulo,81.0,3,2,1,4,acept,not furnished,1734.0
São Paulo,62.0,2,1,1,1,acept,not furnished,2343.0
Belo Horizonte,125.0,3,2,0,2,acept,not furnished,1435.0
São Paulo,37.0,1,1,1,6,acept,furnished,5203.0
São Paulo,60.0,2,2,1,11,acept,not furnished,5931.0
São Paulo,230.0,4,2,3,1,acept,not furnished,10220.0
São Paulo,210.0,4,5,2,1,acept,furnished,12410.0
São Paulo,450.0,4,3,8,0,acept,not furnished,14390.0
São Paulo,234.0,3,5,4,0,acept,furnished,4136.0
Belo Horizonte,135.0,4,3,2,2,not acept,not furnished,3659.0
São Paulo,395.0,4,5,3,0,acept,not furnished,6213.0
Porto Alegre,92.0,2,2,1,2,acept,not furnished,2242.0
São Paulo,412.0,3,5,6,21,acept,not furnished,6462.0
São Paulo,42.0,1,1,1,27,acept,not furnished,6028.0
São Paulo,33.0,1,1,0,12,not acept,furnished,3549.0
Porto Alegre,28.0,2,1,1,0,acept,not furnished,611.0
São Paulo,190.0,4,4,2,0,not acept,not furnished,4740.0
São Paulo,165.0,4,3,3,10,acept,furnished,10110.0
Porto Alegre,44.0,1,1,0,5,acept,not furnished,1593.0
São Paulo,60.0,2,1,1,4,acept,not furnished,2004.0
São Paulo,380.0,3,3,2,1,acept,not furnished,15800.0
Rio de Janeiro,73.0,2,1,0,4,acept,not furnished,1336.0
Belo Horizonte,19.0,1,1,0,5,acept,not furnished,1820.0
Campinas,230.0,3,5,4,6,acept,not furnished,9396.0
Porto Alegre,37.0,1,1,1,2,acept,not furnished,3037.0
São Paulo,124.0,3,2,3,7,acept,not furnished,8434.0
Rio de Janeiro,115.0,3,2,1,8,acept,furnished,3919.0
Campinas,600.0,3,3,4,0,acept,not furnished,5967.0
Rio de Janeiro,700.0,5,5,4,0,acept,furnished,18280.0
Porto Alegre,35.0,1,1,0,1,acept,not furnished,944.0
Belo Horizonte,15.0,1,1,0,3,not acept,furnished,1115.0
Campinas,80.0,3,2,1,2,acept,not furnished,2164.0
Porto Alegre,48.0,1,1,0,4,acept,not furnished,949.0
Belo Horizonte,96.0,3,2,1,2,acept,not furnished,2579.0
São Paulo,150.0,3,2,1,7,acept,furnished,8984.0
Belo Horizonte,105.0,3,2,2,2,not acept,not furnished,5415.0
Belo Horizonte,204.0,4,4,4,22,not acept,furnished,13600.0
Rio de Janeiro,125.0,3,1,2,11,acept,not furnished,4120.0
Rio de Janeiro,50.0,2,1,0,3,not acept,not furnished,2870.0
São Paulo,250.0,3,4,3,0,not acept,not furnished,4031.0
São Paulo,300.0,3,4,3,7,acept,furnished,6276.0
São Paulo,80.0,2,1,1,0,acept,not furnished,1578.0
Rio de Janeiro,130.0,3,4,1,2,not acept,not furnished,2953.0
São Paulo,120.0,2,3,0,2,acept,not furnished,4441.0
São Paulo,540.0,3,3,4,9,acept,not furnished,24890.0
São Paulo,23.0,1,1,0,23,acept,not furnished,2560.0
São Paulo,15.0,1,1,0,0,not acept,furnished,2532.0
São Paulo,72.0,1,2,2,19,acept,not furnished,5151.0
Rio de Janeiro,95.0,3,2,2,7,acept,not furnished,3437.0
São Paulo,330.0,4,5,4,13,acept,not furnished,14120.0
São Paulo,75.0,2,2,2,7,not acept,furnished,8684.0
São Paulo,53.0,1,1,1,4,acept,not furnished,5344.0
São Paulo,178.0,3,2,1,2,not acept,not furnished,3305.0
São Paulo,150.0,3,2,0,0,acept,not furnished,4085.0
São Paulo,50.0,2,1,1,4,acept,not furnished,1766.0
São Paulo,150.0,3,2,1,0,not acept,not furnished,2597.0
Porto Alegre,25.0,1,1,0,0,acept,furnished,1296.0
São Paulo,210.0,3,4,4,13,not acept,not furnished,16460.0
Belo Horizonte,75.0,3,2,1,4,acept,not furnished,2195.0
Belo Horizonte,200.0,2,4,3,12,acept,not furnished,17920.0
São Paulo,350.0,4,4,0,0,acept,not furnished,9110.0
Porto Alegre,49.0,2,1,1,7,acept,not furnished,1557.0
Porto Alegre,40.0,1,1,0,4,not acept,furnished,2030.0
São Paulo,45.0,1,1,1,2,not acept,furnished,6504.0
São Paulo,46.0,1,1,1,8,not acept,furnished,8715.0
São Paulo,80.0,2,2,2,15,acept,not furnished,13140.0
São Paulo,30.0,1,1,0,3,acept,furnished,3287.0
São Paulo,80.0,2,2,2,0,acept,not furnished,2457.0
Rio de Janeiro,105.0,2,2,1,10,acept,not furnished,3464.0
Belo Horizonte,105.0,3,2,2,7,acept,not furnished,3416.0
São Paulo,114.0,3,1,0,0,acept,not furnished,2759.0
São Paulo,200.0,3,3,4,0,acept,not furnished,7531.0
Porto Alegre,120.0,3,3,2,5,acept,not furnished,4011.0
São Paulo,60.0,2,2,1,11,acept,not furnished,4719.0
São Paulo,90.0,2,1,1,1,acept,not furnished,4089.0
Rio de Janeiro,53.0,2,1,0,3,not acept,not furnished,2409.0
São Paulo,80.0,2,2,5,0,acept,not furnished,3105.0
Campinas,87.0,4,2,2,4,acept,not furnished,2511.0
Rio de Janeiro,110.0,3,1,1,1,acept,not furnished,5810.0
Belo Horizonte,113.0,4,2,1,3,acept,not furnished,6070.0
São Paulo,170.0,3,2,2,5,not acept,not furnished,7686.0
São Paulo,150.0,3,2,0,1,not acept,not furnished,3781.0
Porto Alegre,60.0,2,2,1,11,acept,not furnished,2042.0
Porto Alegre,43.0,1,1,0,4,not acept,furnished,2487.0
São Paulo,130.0,3,2,2,4,acept,furnished,4345.0
São Paulo,69.0,3,2,0,7,acept,furnished,2760.0
Campinas,306.0,3,2,2,0,acept,not furnished,2960.0
São Paulo,187.0,3,2,3,0,acept,not furnished,4246.0
São Paulo,385.0,3,4,3,0,acept,not furnished,10640.0
São Paulo,355.0,4,4,3,0,acept,not furnished,8070.0
Porto Alegre,90.0,2,1,1,2,acept,not furnished,1902.0
São Paulo,190.0,3,4,4,0,acept,not furnished,5351.0
Campinas,181.0,2,1,2,0,acept,not furnished,1554.0
São Paulo,350.0,3,5,4,13,acept,not furnished,9285.0
Belo Horizonte,168.0,5,3,2,2,acept,not furnished,4790.0
Rio de Janeiro,73.0,2,1,0,1,acept,not furnished,4641.0
São Paulo,378.0,5,5,4,4,acept,not furnished,9039.0
Campinas,60.0,2,1,1,0,acept,not furnished,1500.0
Belo Horizonte,362.0,4,5,0,19,not acept,not furnished,21310.0
São Paulo,90.0,3,2,0,0,acept,not furnished,1862.0
Rio de Janeiro,42.0,1,1,0,4,not acept,furnished,2578.0
Rio de Janeiro,56.0,2,1,1,18,acept,not furnished,1669.0
São Paulo,16.0,1,1,0,1,not acept,not furnished,891.0
São Paulo,90.0,2,2,2,15,not acept,furnished,11530.0
Belo Horizonte,67.0,1,1,0,13,acept,not furnished,1292.0
São Paulo,488.0,4,3,3,0,acept,not furnished,21820.0
Rio de Janeiro,30.0,1,1,0,10,acept,not furnished,2025.0
São Paulo,290.0,6,3,4,0,acept,not furnished,9646.0
São Paulo,266.0,3,3,4,10,acept,not furnished,12680.0
Campinas,47.0,2,1,1,4,acept,not furnished,1197.0
Rio de Janeiro,590.0,6,6,2,0,acept,furnished,9847.0
São Paulo,900.0,4,9,8,1,acept,not furnished,20930.0
São Paulo,86.0,2,1,1,0,acept,not furnished,2344.0
São Paulo,290.0,3,3,2,0,acept,furnished,16230.0
Porto Alegre,84.0,3,2,2,4,acept,not furnished,4199.0
São Paulo,160.0,3,1,2,0,acept,not furnished,5301.0
São Paulo,37.0,1,1,0,3,not acept,furnished,4142.0
Campinas,73.0,3,1,1,4,acept,not furnished,1215.0
São Paulo,350.0,4,5,5,17,acept,furnished,19990.0
Rio de Janeiro,57.0,1,1,0,2,acept,not furnished,1325.0
Campinas,48.0,1,1,0,9,acept,not furnished,1030.0
Rio de Janeiro,30.0,1,1,0,8,acept,not furnished,1226.0
Campinas,198.0,6,3,4,0,acept,not furnished,2176.0
Porto Alegre,47.0,1,1,0,2,not acept,not furnished,1374.0
Porto Alegre,60.0,2,1,1,3,acept,not furnished,1084.0
São Paulo,230.0,3,3,0,9,acept,furnished,6873.0
Belo Horizonte,90.0,2,1,1,0,not acept,not furnished,1545.0
Rio de Janeiro,129.0,3,2,1,8,acept,furnished,4664.0
